t,edge_id,vertex1,vertex2,length,average_width,intensity,betweenness_centrality
500.0,249.0,683.0,653.0,5.0,1.0690355937288492,92.83333333333331,0.0
500.0,250.0,686.0,732.0,17.0,1.498364597137619,100.11111111111111,0.0
500.0,251.0,689.0,737.0,9.0,1.2478708664619074,95.6,0.0
500.0,252.0,691.0,712.0,13.0,1.4040610178208843,120.5,0.0
500.0,253.0,692.0,715.0,4.0,1.082842712474619,88.8,0.0
500.0,254.0,693.0,709.0,3.0,1.0,85.0,0.0
500.0,255.0,695.0,684.0,2.0,1.1380711874576983,96.0,0.0
500.0,256.0,698.0,669.0,9.0,1.1242640687119283,85.7,0.0
500.0,257.0,699.0,720.0,3.0,1.25,93.5,0.0
500.0,258.0,702.0,728.0,4.0,1.282842712474619,92.8,0.0
500.0,259.0,703.0,665.0,7.0,1.2285533905932735,89.25,0.0
500.0,260.0,711.0,685.0,7.0,2.853373535491155,133.125,0.0
500.0,261.0,713.0,612.0,23.0,1.2041456223588194,96.58333333333331,0.0
500.0,262.0,714.0,706.0,5.0,1.0,86.66666666666667,0.0
500.0,263.0,718.0,717.0,5.0,1.2750469233121475,102.33333333333331,0.0
500.0,264.0,723.0,762.0,13.0,1.1306019374818708,85.35714285714286,0.0
500.0,265.0,724.0,704.0,3.0,1.25,95.25,0.0
500.0,266.0,729.0,716.0,13.0,1.1010152544552212,93.14285714285714,0.0
500.0,267.0,730.0,709.0,3.0,1.0,88.0,0.0
500.0,268.0,733.0,736.0,7.0,1.176776695296637,99.125,0.0
500.0,269.0,738.0,721.0,6.0,1.85581496927351,128.42857142857142,0.0
500.0,270.0,739.0,706.0,6.0,1.0,83.0,0.0
500.0,271.0,740.0,732.0,2.0,1.1380711874576983,93.33333333333331,0.0
500.0,272.0,752.0,770.0,6.0,1.2020305089104422,110.42857142857144,0.0
500.0,273.0,753.0,734.0,5.0,1.2071067811865477,110.66666666666669,0.0
500.0,274.0,756.0,746.0,2.0,1.804737854124365,101.0,0.0
500.0,275.0,760.0,790.0,10.0,1.2032789070454355,95.45454545454544,0.0
500.0,276.0,768.0,602.0,36.0,1.2498010996518725,86.72972972972973,0.0
500.0,277.0,774.0,700.0,16.0,1.1214408883674107,89.6470588235294,0.0
500.0,278.0,776.0,745.0,14.0,1.3971611552825434,95.4,0.0
500.0,279.0,780.0,766.0,6.0,1.31943828249997,92.0,0.0
500.0,280.0,783.0,744.0,24.0,1.2097056274847713,86.4,0.0
500.0,281.0,785.0,796.0,3.0,2.266123775561495,147.0,0.0
500.0,282.0,787.0,771.0,6.0,1.0591733660532994,85.28571428571429,0.0
500.0,283.0,788.0,747.0,13.0,1.1306019374818708,87.92857142857143,0.0
500.0,284.0,791.0,781.0,4.0,1.4485281374238572,91.6,0.0
500.0,285.0,793.0,914.0,28.0,1.4470341392709534,94.72413793103448,0.0
500.0,286.0,794.0,797.0,4.0,1.165685424949238,86.8,0.0
500.0,287.0,795.0,796.0,3.0,1.8696771661547689,130.75,0.0
