t,y,x,vertex_id,is_tip,origin,vertex_connected
500,832,1080,2013,1,0,0
500,834,271,2017,1,0,0
500,834,503,2018,1,0,0
500,834,643,2020,1,0,0
500,835,315,2026,1,0,0
500,836,306,2033,1,0,0
500,837,171,2039,1,0,0
500,837,1109,2046,1,0,0
500,838,302,2048,1,0,0
500,838,654,2050,1,0,0
500,838,937,2052,1,0,0
500,838,1068,2053,1,0,0
500,839,260,2055,1,0,0
500,839,629,2060,1,0,0
500,839,647,2061,1,0,0
500,839,930,2062,1,0,0
500,839,1139,2063,1,0,0
500,840,579,2064,1,0,0
500,840,836,2065,1,0,0
500,840,1036,2066,1,0,0
500,842,601,2073,1,0,0
500,842,608,2074,1,0,0
500,842,1080,2078,1,0,0
500,843,853,2084,1,0,0
500,843,1034,2086,1,0,0
500,844,246,2087,1,0,0
500,845,965,2095,1,0,0
500,845,1125,2098,1,0,0
500,845,1208,2100,1,0,0
500,847,667,2104,1,0,0
500,847,1018,2106,1,0,0
500,849,246,2114,1,0,0
500,849,459,2116,1,0,0
500,849,486,2118,1,0,0
500,849,963,2120,1,0,0
500,850,530,2125,1,0,0
500,850,883,2130,1,0,0
500,851,307,2132,1,0,0
500,851,1213,2135,1,0,0
500,852,796,2138,1,0,0
500,853,427,2140,1,0,0
500,853,1153,2142,1,0,0
500,854,194,2144,1,0,0
500,854,416,2146,1,0,0
500,854,430,2147,1,0,0
500,854,477,2148,1,0,0
500,854,609,2151,1,0,0
500,854,622,2153,1,0,0
500,854,1084,2155,1,0,0
500,855,675,2159,1,0,0
500,857,206,2162,1,0,0
500,857,315,2163,1,0,0
500,857,542,2165,1,0,0
500,858,200,2169,1,0,0
500,858,471,2171,1,0,0
500,858,593,2172,1,0,0
500,858,1232,2173,1,0,0
500,859,296,2174,1,0,0
500,860,212,2178,1,0,0
500,860,1116,2185,1,0,0
500,861,495,2188,1,0,0
500,861,827,2190,1,0,0
500,861,931,2191,1,0,0
500,861,1208,2192,1,0,0
500,862,1195,2196,1,0,0
500,863,568,2199,1,0,0
500,863,1127,2200,1,0,0
500,864,765,2203,1,0,0
500,868,691,2219,1,0,0
500,868,757,2221,1,0,0
500,868,1234,2222,1,0,0
500,869,1184,2228,1,0,0
500,870,112,2229,1,2,0
500,870,1218,2240,1,0,0
500,871,341,2241,1,0,0
500,871,738,2242,1,0,0
500,872,692,2248,1,0,0
500,873,175,2250,1,0,0
500,873,214,2251,1,0,0
500,873,644,2253,1,0,0
500,873,687,2254,1,0,0
500,874,552,2258,1,0,0
500,874,596,2259,1,0,0
500,875,88,2263,1,2,0
500,875,351,2264,1,0,0
500,875,893,2268,1,0,0
500,877,620,2276,1,0,0
500,877,1143,2279,1,0,0
500,878,736,2284,1,0,0
500,879,332,2289,1,0,0
500,879,360,2290,1,0,0
500,879,727,2291,1,0,0
500,880,116,2294,1,2,0
500,880,403,2296,1,0,0
500,880,460,2298,1,0,0
500,880,809,2299,1,0,0
500,880,849,2300,1,0,0
500,881,90,2301,1,2,0
500,881,220,2304,1,0,0
500,882,162,2308,1,0,0
500,882,324,2310,1,0,0
500,883,770,2315,1,0,0
500,883,1000,2317,1,0,0
500,885,435,2325,1,0,0
500,885,446,2326,1,0,0
500,885,845,2327,1,0,0
500,886,417,2330,1,0,0
500,886,993,2332,1,0,0
500,887,789,2337,1,0,0
500,887,883,2338,1,0,0
500,888,756,2340,1,0,0
500,889,212,2344,1,0,0
500,889,915,2349,1,0,0
500,889,1024,2350,1,0,0
500,890,671,2352,1,0,0
500,890,806,2353,1,0,0
500,891,506,2357,1,0,0
500,891,929,2362,1,0,0
500,891,1098,2364,1,0,0
500,892,287,2369,1,0,0
500,892,663,2371,1,0,0
500,892,1020,2373,1,0,0
500,893,464,2375,1,0,0
500,893,537,2376,1,0,0
500,893,1029,2379,1,0,0
500,893,1119,2380,1,0,0
500,895,254,2384,1,0,0
500,895,348,2385,1,0,0
500,896,185,2388,1,0,0
500,896,578,2392,1,0,0
500,897,635,2398,1,0,0
500,897,866,2400,1,0,0
500,898,790,2406,1,0,0
500,899,453,2409,1,0,0
500,899,519,2410,1,0,0
500,899,731,2411,1,0,0
500,899,865,2412,1,0,0
500,899,1161,2413,1,0,0
500,900,442,2418,1,0,0
500,900,517,2419,1,0,0
500,901,399,2425,1,0,0
500,901,1051,2428,1,0,0
500,902,69,2430,1,2,0
500,902,706,2432,1,0,0
500,902,839,2433,1,0,0
500,903,191,2434,1,0,0
